Crop_Type,temperature,Humidity,Soil_Moisture,Rainfall,pH,Evaporation_Rate,Water_Requirement,Area,Date
Sugarcane,27,70,30,150,5.9,4.8,195,0.078,2020-03-13
Sugarcane,33,85,20,200,6.4,5.5,220,0.088,2020-03-14
Sugarcane,29,76,18,190,6.2,5.0,205,0.082,2020-03-15
Sugarcane,30,80,25,240,6.1,5.3,215,0.086,2020-03-16
Sugarcane,31,79,30,210,6.5,5.6,230,0.092,2020-03-17
Sugarcane,34,81,15,180,6.0,6.1,225,0.09,2020-03-18
Sugarcane,28,73,20,160,6.3,4.9,200,0.08,2020-03-19
Sugarcane,32,84,25,250,6.6,5.4,235,0.094,2020-03-20
Sugarcane,30,75,30,300,6.1,5.5,240,0.096,2020-03-21
Sugarcane,29,78,20,140,6.4,5.2,210,0.084,2020-03-22
Sugarcane,31,76,15,190,6.3,5.1,200,0.08,2020-03-23
Sugarcane,34,80,25,220,6.0,6.2,230,0.092,2020-03-24
Sugarcane,27,72,20,150,6.5,4.7,195,0.078,2020-03-25
Sugarcane,28,74,30,180,6.1,5.3,205,0.082,2020-03-26
Sugarcane,30,77,25,260,6.2,5.4,215,0.086,2020-03-27
Sugarcane,32,79,20,200,6.4,5.6,220,0.088,2020-03-28
Sugarcane,29,82,15,140,6.5,4.8,190,0.076,2020-03-29
Sugarcane,34,81,30,300,6.0,6.0,240,0.096,2020-03-30
Sugarcane,31,78,20,170,6.3,5.5,210,0.084,2020-03-31
Sugarcane,30,80,25,230,6.1,5.2,215,0.086,2020-04-01
Sugarcane,28,75,20,180,6.4,5.1,200,0.08,2020-04-02
Sugarcane,32,85,30,250,6.2,5.4,225,0.09,2020-04-03
Sugarcane,30,75,20,200,6.5,5.0,210,0.084,2020-04-04
Sugarcane,31,79,30,210,6.5,5.6,230,0.092,2020-04-05
Sugarcane,34,81,15,180,6.0,6.1,225,0.09,2020-04-06
Sugarcane,28,73,20,160,6.3,4.9,200,0.08,2020-04-07
Sugarcane,32,84,25,250,6.6,5.4,235,0.094,2020-04-08
Sugarcane,30,75,30,300,6.1,5.5,240,0.096,2020-04-09
Sugarcane,29,78,20,140,6.4,5.2,210,0.084,2020-04-10
Sugarcane,31,76,15,190,6.3,5.1,200,0.08,2020-04-11
Sugarcane,34,80,25,220,6.0,6.2,230,0.092,2020-04-12
Sugarcane,27,72,20,150,6.5,4.7,195,0.078,2020-04-13
Sugarcane,28,74,30,180,6.1,5.3,205,0.082,2020-04-14
Sugarcane,30,77,25,260,6.2,5.4,215,0.086,2020-04-15
Sugarcane,32,79,20,200,6.4,5.6,220,0.088,2020-04-16
Sugarcane,29,82,15,140,6.5,4.8,190,0.076,2020-04-17
Sugarcane,34,81,30,300,6.0,6.0,240,0.096,2020-04-18
Sugarcane,31,78,20,170,6.3,5.5,210,0.084,2020-04-19
Sugarcane,30,80,25,230,6.1,5.2,215,0.086,2020-04-20
Cotton,28,70,20,150,6.5,4.5,180,0.072,2020-04-21
Cotton,30,75,25,200,6.0,5.0,190,0.076,2020-04-22
Cotton,32,80,30,180,6.8,5.5,210,0.084,2020-04-23
Cotton,29,78,15,160,6.2,4.8,185,0.074,2020-04-24
Cotton,31,73,22,250,5.9,5.2,200,0.08,2020-04-25
Cotton,30,76,18,170,6.4,5.1,195,0.078,2020-04-26
Cotton,34,82,20,220,6.1,5.7,215,0.086,2020-04-27
Cotton,27,68,25,140,6.3,4.6,180,0.072,2020-04-28
Cotton,33,85,30,300,6.0,6.0,220,0.088,2020-04-29
Cotton,29,74,20,150,6.5,5.3,190,0.076,2020-04-30
Cotton,28,72,15,130,6.4,4.9,175,0.07,2020-05-01
Cotton,32,79,25,240,6.2,5.4,205,0.082,2020-05-02
Cotton,30,77,30,260,5.8,5.6,210,0.084,2020-05-03
Cotton,31,71,18,180,6.7,5.0,185,0.074,2020-05-04
Cotton,29,75,20,160,6.3,5.2,190,0.076,2020-05-05
Cotton,34,81,25,300,6.0,6.1,225,0.09,2020-05-06
Cotton,27,70,15,120,6.5,4.7,180,0.072,2020-05-07
Cotton,30,78,22,190,6.3,5.3,200,0.08,2020-05-08
Cotton,32,84,20,250,6.1,5.5,210,0.084,2020-05-09
Cotton,28,76,30,200,6.4,5.0,195,0.078,2020-05-10
Cotton,29,80,15,140,6.5,5.2,185,0.074,2020-05-11
Cotton,31,79,20,170,6.2,5.4,200,0.08,2020-05-12
Cotton,30,75,25,230,6.0,5.1,195,0.078,2020-05-13
Cotton,34,83,22,280,6.3,6.0,220,0.088,2020-05-14
Cotton,27,72,20,150,5.9,4.8,180,0.072,2020-05-15
Cotton,33,86,30,200,6.4,5.5,215,0.086,2020-05-16
Cotton,29,76,18,190,6.2,5.0,185,0.074,2020-05-17
Cotton,30,81,25,240,6.1,5.3,205,0.082,2020-05-18
Wheat,22,60,25,150,6.5,4.0,180,0.072,2020-05-19
Wheat,24,65,30,200,6.2,4.5,190,0.076,2020-05-20
Wheat,26,70,20,180,6.8,5.0,200,0.08,2020-05-21
Wheat,23,68,15,160,6.3,4.3,185,0.074,2020-05-22
Wheat,25,72,22,250,5.9,4.8,210,0.084,2020-05-23
Wheat,24,66,18,170,6.4,4.6,195,0.078,2020-05-24
Wheat,27,75,20,220,6.1,5.1,215,0.086,2020-05-25
Wheat,21,62,25,140,6.3,4.1,180,0.072,2020-05-26
Wheat,28,78,30,300,6.0,5.2,220,0.088,2020-05-27
Wheat,22,64,20,150,6.5,4.4,190,0.076,2020-05-28
Wheat,23,70,15,130,6.4,4.2,175,0.07,2020-05-29
Wheat,26,73,25,240,6.2,4.9,205,0.082,2020-05-30
Wheat,25,69,30,260,5.8,5.0,210,0.084,2020-05-31
Wheat,24,67,18,180,6.7,4.7,185,0.074,2020-06-01
Wheat,22,71,20,160,6.3,4.5,190,0.076,2020-06-02
Wheat,27,76,25,200,6.0,5.1,215,0.086,2020-06-03
Wheat,23,65,22,150,6.5,4.3,180,0.072,2020-06-04
Wheat,24,70,30,220,6.1,4.8,200,0.08,2020-06-05
Wheat,26,74,15,170,6.2,4.6,195,0.078,2020-06-06
Wheat,28,72,25,230,5.9,5.3,210,0.084,2020-06-07
Wheat,21,63,20,140,6.4,4.1,175,0.07,2020-06-08
Wheat,22,68,30,180,6.5,4.2,190,0.076,2020-06-09
Wheat,24,65,25,250,6.0,4.9,200,0.08,2020-06-10
Wheat,25,70,20,220,6.3,5.0,205,0.082,2020-06-11
Wheat,23,72,30,260,5.8,5.1,215,0.086,2020-06-12
Wheat,26,75,18,140,6.2,4.7,190,0.076,2020-06-13
Wheat,28,74,22,200,6.1,5.2,210,0.084,2020-06-14
Wheat,27,78,25,240,6.0,5.4,220,0.088,2020-06-15
Wheat,21,66,20,150,6.3,4.6,185,0.074,2020-06-16
Wheat,22,69,30,180,6.5,4.8,195,0.076,2020-06-17
Wheat,24,72,25,230,5.9,5.1,200,0.08,2020-06-18
Wheat,25,70,20,140,6.2,4.5,190,0.076,2020-06-19
Wheat,26,76,30,160,5.9,5.1,195,0.078,2020-06-20
Wheat,28,75,25,220,6.0,5.3,215,0.086,2020-06-21
Wheat,29,73,20,240,6.2,5.5,220,0.088,2020-06-22
Wheat,30,78,15,260,6.3,5.6,225,0.09,2020-06-23
Wheat,22,73,20,140,6.4,4.9,185,0.074,2020-06-24
Wheat,23,69,30,180,6.5,4.7,190,0.076,2020-06-25
Wheat,24,72,25,200,6.1,5.0,205,0.082,2020-06-26
Wheat,25,70,20,150,6.3,4.8,190,0.076,2020-06-27
Wheat,22,60,25,150,6.5,4.0,180,0.072,2020-06-28
Wheat,24,65,30,200,6.2,4.5,190,0.076,2020-06-29
Wheat,26,70,20,180,6.8,5.0,200,0.08,2020-06-30
Wheat,23,68,15,160,6.3,4.3,185,0.074,2020-07-01
Wheat,25,72,22,250,5.9,4.8,210,0.084,2020-07-02
Wheat,24,66,18,170,6.4,4.6,195,0.078,2020-07-03
Wheat,27,75,20,220,6.1,5.1,215,0.086,2020-07-04
Wheat,21,62,25,140,6.3,4.1,180,0.072,2020-07-05
Wheat,28,78,30,300,6.0,5.2,220,0.088,2020-07-06
Wheat,22,64,20,150,6.5,4.4,190,0.076,2020-07-07
Wheat,23,70,15,130,6.4,4.2,175,0.07,2020-07-08
Wheat,26,73,25,240,6.2,4.9,205,0.082,2020-07-09
Wheat,25,69,30,260,5.8,5.0,210,0.084,2020-07-10
Wheat,24,67,18,180,6.7,4.7,185,0.074,2020-07-11
Wheat,22,71,20,160,6.3,4.5,190,0.076,2020-07-12
Wheat,27,76,25,200,6.0,5.1,215,0.086,2020-07-13
Wheat,23,65,22,150,6.5,4.3,180,0.072,2020-07-14
Wheat,24,70,30,220,6.1,4.8,200,0.08,2020-07-15
Wheat,26,74,15,170,6.2,4.6,195,0.078,2020-07-16
Wheat,28,72,25,230,5.9,5.3,210,0.084,2020-07-17
rice,28,75,20,150,6.5,5.0,120,0.048,2020-07-18
rice,30,80,15,200,6.0,5.5,130,0.052,2020-07-19
rice,22,65,25,100,6.8,4.5,110,0.044,2020-07-20
rice,25,70,30,250,5.9,4.0,140,0.056,2020-07-21
rice,33,85,10,300,6.2,6.0,150,0.06,2020-07-22
rice,27,60,20,180,6.4,4.8,125,0.05,2020-07-23
rice,29,90,15,220,6.1,5.6,135,0.054,2020-07-24
rice,24,55,25,120,5.7,4.2,115,0.046,2020-07-25
rice,31,78,30,260,6.3,5.4,145,0.058,2020-07-26
rice,26,68,10,90,6.6,4.6,105,0.042,2020-07-27
rice,34,82,20,280,6.0,6.1,155,0.062,2020-07-28
rice,29,79,25,150,6.5,5.0,125,0.05,2020-07-29
rice,32,85,20,200,6.4,5.5,140,0.056,2020-07-30
rice,23,70,30,250,6.2,4.8,130,0.052,2020-07-31
rice,30,75,15,180,5.8,5.2,120,0.048,2020-08-01
rice,28,80,25,220,6.0,5.4,135,0.054,2020-08-02
rice,26,65,20,160,6.3,4.7,110,0.044,2020-08-03
rice,24,72,30,240,5.9,4.5,145,0.058,2020-08-04
rice,31,78,15,190,6.6,5.6,125,0.05,2020-08-05
rice,22,60,25,130,6.1,4.3,115,0.046,2020-08-06
rice,35,87,10,300,6.2,6.5,160,0.064,2020-08-07
rice,27,70,20,170,5.8,4.9,120,0.048,2020-08-08
rice,29,82,30,210,6.4,5.3,140,0.056,2020-08-09
rice,33,90,15,250,6.0,5.7,150,0.06,2020-08-10
rice,25,65,25,110,6.8,4.2,105,0.042,2020-08-11
rice,30,75,20,200,6.5,5.0,130,0.052,2020-08-12
rice,28,80,15,160,6.3,5.5,120,0.048,2020-08-13
rice,22,60,30,140,6.1,4.0,110,0.044,2020-08-14
rice,34,85,20,270,6.2,6.2,155,0.062,2020-08-15
rice,26,68,25,220,5.9,4.6,135,0.054,2020-08-16
rice,31,90,10,280,6.5,6.0,150,0.06,2020-08-17
rice,29,75,20,150,6.4,5.2,120,0.048,2020-08-18
rice,24,70,25,130,6.6,4.5,115,0.046,2020-08-19
rice,30,80,30,200,6.3,5.4,140,0.056,2020-08-20
rice,32,85,15,250,6.1,5.7,150,0.06,2020-08-21
rice,25,65,20,110,6.2,4.3,105,0.042,2020-08-22
rice,28,78,30,240,6.0,5.1,145,0.058,2020-08-23
rice,33,82,10,300,6.4,6.3,160,0.064,2020-08-24
rice,27,70,20,180,5.8,4.8,120,0.048,2020-08-25
rice,29,75,25,160,6.5,5.5,130,0.052,2020-08-26
rice,22,60,15,140,6.1,4.2,110,0.044,2020-08-27
rice,34,90,20,270,6.2,6.1,155,0.062,2020-08-28
rice,26,68,25,220,5.9,4.6,135,0.054,2020-08-29
rice,31,85,10,290,6.0,6.0,150,0.06,2020-08-30
rice,30,75,20,150,6.5,5.0,120,0.048,2020-08-31
rice,28,80,15,200,6.3,5.5,130,0.052,2020-09-01
rice,22,65,30,100,6.8,4.5,110,0.044,2020-09-02
rice,35,87,10,300,6.2,6.5,160,0.064,2020-09-03
Sugarcane,30,75,25,150,6.5,5.0,200,0.08,2020-09-04
Sugarcane,32,80,20,200,6.0,5.5,210,0.084,2020-09-05
Sugarcane,28,70,30,120,6.8,4.5,190,0.076,2020-09-06
Sugarcane,29,85,15,180,6.2,5.2,205,0.082,2020-09-07
Sugarcane,31,78,22,250,5.9,4.8,215,0.086,2020-09-08
Sugarcane,30,76,18,160,6.4,5.1,200,0.08,2020-09-09
Sugarcane,33,82,25,300,6.1,6.0,220,0.088,2020-09-10
Sugarcane,27,68,20,130,6.3,4.7,195,0.078,2020-09-11
Sugarcane,34,85,30,270,6.0,5.9,225,0.09,2020-09-12
Sugarcane,29,80,15,140,6.5,5.3,200,0.08,2020-09-13
Sugarcane,28,75,20,190,6.4,5.0,210,0.084,2020-09-14
Sugarcane,32,90,25,220,6.2,5.4,215,0.086,2020-09-15
Sugarcane,30,77,30,260,5.8,5.6,230,0.092,2020-09-16
Sugarcane,31,72,18,150,6.7,4.9,205,0.082,2020-09-17
Sugarcane,29,78,20,170,6.3,5.1,200,0.08,2020-09-18
Sugarcane,34,81,25,300,6.0,6.2,240,0.096,2020-09-19
Sugarcane,27,74,15,110,6.5,4.6,185,0.074,2020-09-20
Sugarcane,30,79,22,180,6.3,5.3,210,0.084,2020-09-21
Sugarcane,32,83,20,250,6.1,5.5,220,0.088,2020-09-22
Sugarcane,28,76,30,200,6.4,5.0,200,0.08,2020-09-23
Sugarcane,29,80,15,160,6.5,5.2,205,0.082,2020-09-24
Sugarcane,31,75,20,170,6.2,5.4,215,0.086,2020-09-25
Sugarcane,30,78,25,230,6.0,5.1,210,0.084,2020-09-26
Sugarcane,34,82,22,280,6.3,6.0,240,0.096,2020-09-27
Sugarcane,27,70,30,150,5.9,4.8,195,0.078,2020-09-28
Sugarcane,33,85,20,200,6.4,5.5,220,0.088,2020-09-29
Sugarcane,29,76,18,190,6.2,5.0,205,0.082,2020-09-30
Sugarcane,30,80,25,240,6.1,5.3,215,0.086,2020-10-01
Sugarcane,31,79,30,210,6.5,5.6,230,0.092,2020-10-02
Sugarcane,34,81,15,180,6.0,6.1,225,0.09,2020-10-03
Sugarcane,28,73,20,160,6.3,4.9,200,0.08,2020-10-04
Sugarcane,32,84,25,250,6.6,5.4,235,0.094,2020-10-05
Sugarcane,30,75,30,300,6.1,5.5,240,0.096,2020-10-06
Sugarcane,29,78,20,140,6.4,5.2,210,0.084,2020-10-07
Sugarcane,31,76,15,190,6.3,5.1,200,0.08,2020-10-08
Sugarcane,34,80,25,220,6.0,6.2,230,0.092,2020-10-09
Sugarcane,27,72,20,150,6.5,4.7,195,0.078,2020-10-10
Sugarcane,28,74,30,180,6.1,5.3,205,0.082,2020-10-11
Sugarcane,30,77,25,260,6.2,5.4,215,0.086,2020-10-12
Sugarcane,32,79,20,200,6.4,5.6,220,0.088,2020-10-13
Sugarcane,29,82,15,140,6.5,4.8,190,0.076,2020-10-14
Sugarcane,34,81,30,300,6.0,6.0,240,0.096,2020-10-15
Sugarcane,31,78,20,170,6.3,5.5,210,0.084,2020-10-16
Sugarcane,30,80,25,230,6.1,5.2,215,0.086,2020-10-17
Sugarcane,28,75,20,180,6.4,5.1,200,0.08,2020-10-18
Sugarcane,32,85,30,250,6.2,5.4,225,0.09,2020-10-19
Sugarcane,30,75,20,200,6.5,5.0,210,0.084,2020-10-20
Sugarcane,31,79,30,210,6.5,5.6,230,0.092,2020-10-21
Sugarcane,34,81,15,180,6.0,6.1,225,0.09,2020-10-22
Sugarcane,28,73,20,160,6.3,4.9,200,0.08,2020-10-23
Sugarcane,32,84,25,250,6.6,5.4,235,0.094,2020-10-24
Sugarcane,30,75,30,300,6.1,5.5,240,0.096,2020-10-25
Sugarcane,29,78,20,140,6.4,5.2,210,0.084,2020-10-26
Sugarcane,31,76,15,190,6.3,5.1,200,0.08,2020-10-27
Sugarcane,34,80,25,220,6.0,6.2,230,0.092,2020-10-28
Sugarcane,27,72,20,150,6.5,4.7,195,0.078,2020-10-29
Sugarcane,28,74,30,180,6.1,5.3,205,0.082,2020-10-30
Sugarcane,30,77,25,260,6.2,5.4,215,0.086,2020-10-31
Sugarcane,32,79,20,200,6.4,5.6,220,0.088,2020-11-01
Sugarcane,29,82,15,140,6.5,4.8,190,0.076,2020-11-02
Sugarcane,34,81,30,300,6.0,6.0,240,0.096,2020-11-03
Sugarcane,31,78,20,170,6.3,5.5,210,0.084,2020-11-04
Sugarcane,30,80,25,230,6.1,5.2,215,0.086,2020-11-05
Cotton,28,70,20,150,6.5,4.5,180,0.072,2020-11-06
Cotton,30,75,25,200,6.0,5.0,190,0.076,2020-11-07
Cotton,32,80,30,180,6.8,5.5,210,0.084,2020-11-08
Cotton,29,78,15,160,6.2,4.8,185,0.074,2020-11-09
Cotton,31,73,22,250,5.9,5.2,200,0.08,2020-11-10
Cotton,30,76,18,170,6.4,5.1,195,0.078,2020-11-11
Cotton,34,82,20,220,6.1,5.7,215,0.086,2020-11-12
Cotton,27,68,25,140,6.3,4.6,180,0.072,2020-11-13
Cotton,33,85,30,300,6.0,6.0,220,0.088,2020-11-14
Cotton,29,74,20,150,6.5,5.3,190,0.076,2020-11-15
Cotton,28,72,15,130,6.4,4.9,175,0.07,2020-11-16
Cotton,32,79,25,240,6.2,5.4,205,0.082,2020-11-17
Cotton,30,77,30,260,5.8,5.6,210,0.084,2020-11-18
Cotton,31,71,18,180,6.7,5.0,185,0.074,2020-11-19
Cotton,29,75,20,160,6.3,5.2,190,0.076,2020-11-20
Cotton,34,81,25,300,6.0,6.1,225,0.09,2020-11-21
Cotton,27,70,15,120,6.5,4.7,180,0.072,2020-11-22
Cotton,30,78,22,190,6.3,5.3,200,0.08,2020-11-23
Cotton,32,84,20,250,6.1,5.5,210,0.084,2020-11-24
Cotton,28,76,30,200,6.4,5.0,195,0.078,2020-11-25
Cotton,29,80,15,140,6.5,5.2,185,0.074,2020-11-26
Cotton,31,79,20,170,6.2,5.4,200,0.08,2020-11-27
Cotton,30,75,25,230,6.0,5.1,195,0.078,2020-11-28
Cotton,34,83,22,280,6.3,6.0,220,0.088,2020-11-29
Cotton,27,72,20,150,5.9,4.8,180,0.072,2020-11-30
Cotton,33,86,30,200,6.4,5.5,215,0.086,2020-12-01
Cotton,29,76,18,190,6.2,5.0,185,0.074,2020-12-02
Cotton,30,81,25,240,6.1,5.3,205,0.082,2020-12-03
Wheat,22,60,25,150,6.5,4.0,180,0.072,2020-12-04
Wheat,24,65,30,200,6.2,4.5,190,0.076,2020-12-05
Wheat,26,70,20,180,6.8,5.0,200,0.08,2020-12-06
Wheat,23,68,15,160,6.3,4.3,185,0.074,2020-12-07
Wheat,25,72,22,250,5.9,4.8,210,0.084,2020-12-08
Wheat,24,66,18,170,6.4,4.6,195,0.078,2020-12-09
Wheat,27,75,20,220,6.1,5.1,215,0.086,2020-12-10
Wheat,21,62,25,140,6.3,4.1,180,0.072,2020-12-11
Wheat,28,78,30,300,6.0,5.2,220,0.088,2020-12-12
Wheat,22,64,20,150,6.5,4.4,190,0.076,2020-12-13
Wheat,23,70,15,130,6.4,4.2,175,0.07,2020-12-14
Wheat,26,73,25,240,6.2,4.9,205,0.082,2020-12-15
Wheat,25,69,30,260,5.8,5.0,210,0.084,2020-12-16
Wheat,24,67,18,180,6.7,4.7,185,0.074,2020-12-17
Wheat,22,71,20,160,6.3,4.5,190,0.076,2020-12-18
Wheat,27,76,25,200,6.0,5.1,215,0.086,2020-12-19
Wheat,23,65,22,150,6.5,4.3,180,0.072,2020-12-20
Wheat,24,70,30,220,6.1,4.8,200,0.08,2020-12-21
Wheat,26,74,15,170,6.2,4.6,195,0.078,2020-12-22
Wheat,28,72,25,230,5.9,5.3,210,0.084,2020-12-23
Wheat,21,63,20,140,6.4,4.1,175,0.07,2020-12-24
Wheat,22,68,30,180,6.5,4.2,190,0.076,2020-12-25
Wheat,24,65,25,250,6.0,4.9,200,0.08,2020-12-26
Wheat,25,70,20,220,6.3,5.0,205,0.082,2020-12-27
Wheat,23,72,30,260,5.8,5.1,215,0.086,2020-12-28
Wheat,26,75,18,140,6.2,4.7,190,0.076,2020-12-29
Wheat,28,74,22,200,6.1,5.2,210,0.084,2020-12-30
Wheat,27,78,25,240,6.0,5.4,220,0.088,2020-12-31
rice,28,75,20,150,6.5,5.0,120,0.048,2021-01-01
rice,30,80,15,200,6.0,5.5,130,0.052,2021-01-02
rice,22,65,25,100,6.8,4.5,110,0.044,2021-01-03
rice,25,70,30,250,5.9,4.0,140,0.056,2021-01-04
rice,33,85,10,300,6.2,6.0,150,0.06,2021-01-05
rice,27,60,20,180,6.4,4.8,125,0.05,2021-01-06
rice,29,90,15,220,6.1,5.6,135,0.054,2021-01-07
rice,24,55,25,120,5.7,4.2,115,0.046,2021-01-08
rice,31,78,30,260,6.3,5.4,145,0.058,2021-01-09
rice,26,68,10,90,6.6,4.6,105,0.042,2021-01-10
rice,34,82,20,280,6.0,6.1,155,0.062,2021-01-11
rice,29,79,25,150,6.5,5.0,125,0.05,2021-01-12
rice,32,85,20,200,6.4,5.5,140,0.056,2021-01-13
rice,23,70,30,250,6.2,4.8,130,0.052,2021-01-14
rice,30,75,15,180,5.8,5.2,120,0.048,2021-01-15
rice,28,80,25,220,6.0,5.4,135,0.054,2021-01-16
rice,26,65,20,160,6.3,4.7,110,0.044,2021-01-17
rice,24,72,30,240,5.9,4.5,145,0.058,2021-01-18
rice,31,78,15,190,6.6,5.6,125,0.05,2021-01-19
rice,22,60,25,130,6.1,4.3,115,0.046,2021-01-20
rice,35,87,10,300,6.2,6.5,160,0.064,2021-01-21
rice,27,70,20,170,5.8,4.9,120,0.048,2021-01-22
rice,29,82,30,210,6.4,5.3,140,0.056,2021-01-23
rice,33,90,15,250,6.0,5.7,150,0.06,2021-01-24
rice,25,65,25,110,6.8,4.2,105,0.042,2021-01-25
rice,30,75,20,200,6.5,5.0,130,0.052,2021-01-26
rice,28,80,15,160,6.3,5.5,120,0.048,2021-01-27
rice,22,60,30,140,6.1,4.0,110,0.044,2021-01-28
rice,34,85,20,270,6.2,6.2,155,0.062,2021-01-29
rice,26,68,25,220,5.9,4.6,135,0.054,2021-01-30
rice,31,90,10,280,6.5,6.0,150,0.06,2021-01-31
rice,29,75,20,150,6.4,5.2,120,0.048,2021-02-01
rice,24,70,25,130,6.6,4.5,115,0.046,2021-02-02
rice,30,80,30,200,6.3,5.4,140,0.056,2021-02-03
rice,32,85,15,250,6.1,5.7,150,0.06,2021-02-04
rice,25,65,20,110,6.2,4.3,105,0.042,2021-02-05
rice,28,78,30,240,6.0,5.1,145,0.058,2021-02-06
rice,33,82,10,300,6.4,6.3,160,0.064,2021-02-07
rice,27,70,20,180,5.8,4.8,120,0.048,2021-02-08
rice,29,75,25,160,6.5,5.5,130,0.052,2021-02-09
rice,22,60,15,140,6.1,4.2,110,0.044,2021-02-10
rice,34,90,20,270,6.2,6.1,155,0.062,2021-02-11
rice,26,68,25,220,5.9,4.6,135,0.054,2021-02-12
